年份,第几周,部门,"本周
新开户",本月新开户,"本月新增
有效户",本年新开户,"本年新增
有效户","本周
新增市值","本月
新增市值",本年新增市值,"本周
新开两融户","本月
新开两融户","本年
新开两融户","资产
总量（亿）","两融余额
（万）",本周净佣金收入（万）,本月净佣金收入（万）,本年净佣金收入（万）,本周净佣金收入（万）,本月净佣金收入（万）,本年净佣金收入（万）
2023,7,天津分公司,18,36,12,55,23,184.220008,300.494241,1595.711854,0,0,4,2.51684173,1539.210227,-,-,-,3.157151,7.639329,13.581626
2023,7,事业中心,2,11,10,30,23,428.11521,1377.29527,4304.902023,1,2,3,2.45744316,1436.326663,5.357962,17.374893,38.007282,6.11267,19.281214,43.416977
2023,7,经纪人,11,26,8,27,10,83.48004,122.157215,279.737305,0,0,0,9.29636657,4224.465692,-,-,-,8.094263,18.352915,35.431515
2023,7,财富中心,6,14,9,22,13,82.414781,1147.872701,1326.014645,0,0,0,6.90429671,2722.610751,2.966762,8.491462,17.851076,4.284896,11.161676,21.322531
2023,7,北京方庄,90,113,12,344,21,11.3461,77.834,564.15646,0,0,1,1.8041529,356.977245,-,-,-,1.641162,4.411541,9.724159
2023,8,天津分公司,26,63,16,82,27,93.200726,393.694967,1628.65142,1,1,5,2.53090597,1573.146069,-,-,-,3.387462,11.026791,16.969088
2023,8,事业中心,3,14,15,33,28,1456.321936,2833.617206,5514.422598,0,2,3,2.45117739,2208.364158,7.407203,24.782096,45.414485,8.014895,27.296109,51.431872
2023,8,经纪人,6,32,16,33,18,67.19844,189.355655,309.790655,0,0,0,9.28035263,4263.493508,-,-,-,9.217092,27.570007,44.648607
2023,8,财富中心,10,24,16,32,20,336.633064,1484.505765,1638.346227,1,1,1,6.96638058,2649.839687,5.017275,13.508737,22.868351,5.564258,16.725934,26.886789
2023,8,北京方庄,121,234,14,465,23,107.3225,185.1565,830.54273,0,0,1,1.82329812,353.192985,-,-,-,2.067444,6.478985,11.791603
2023,9,天津分公司,11,11,3,93,30,61.1865,61.1865,1447.642176,0,0,5,2.55828994,1554.082162,-,-,-,1.566667,1.566667,18.535755
2023,9,事业中心,3,3,0,36,28,148.290295,148.290295,4998.359882,0,0,3,2.42673617,2192.75633,3.805639,3.805639,49.220124,4.008566,4.008566,55.440438
2023,9,经纪人,2,2,3,35,21,58.34955,58.34955,339.03869,0,0,0,9.32206291,4296.016133,-,-,-,4.092892,4.092892,48.741499
2023,9,财富中心,2,2,2,34,22,10.8533,10.8533,1563.303524,0,0,1,7.03633024,2791.282197,1.688387,1.688387,24.556738,1.830929,1.830929,28.717718
2023,9,北京方庄,22,22,1,487,24,20.0759,20.0759,665.13943,0,0,1,1.86613332,218.962775,-,-,-,1.077855,1.077855,12.869458
2023,10,天津分公司,23,34,5,116,32,65.9611,127.1476,1498.667974,0,0,5,2.50170076,1784.166045,-,-,-,2.151179,3.717846,20.686934
2023,10,事业中心,1,4,6,37,34,85.779169,234.069464,4084.584943,0,0,3,2.36090655,2118.651827,5.091828,8.809026,52.011034,5.6658,9.585925,58.80532
2023,10,经纪人,0,2,4,35,22,17.60036,75.94991,323.13822,0,0,0,9.12078024,4162.742914,-,-,-,6.730496,10.822871,55.445101
